animal_id,found_location
A692102,Ih 35 And 41St St in Austin (TX)
A669766,4705 Bayside in Austin (TX)
A760845,Austin (TX)
A679746,2200 Bitter Creek Dr in Austin (TX)
A702909,8714 Fm 812 in Austin (TX)
A589206,Austin (TX)
A697586,23108 Sunny Oak Ln in Leander (TX)
A714157,3000 Fort Worth St in Austin (TX)
A688808,10100 N Capital Of Texas Hwy in Austin (TX)
A695647,2406 E Stassney Ln in Austin (TX)
A710745,5411 Overbrook Dr in Austin (TX)
A704945,N Interstate 35 Frontage Rd & E Riverside Dr in Austin (TX)
A721679,Sam Rayburn in Austin (TX)
A724611,8700 Brodie Ln in Austin (TX)
A746145,8723 S Hwy 183 in Austin (TX)
A610772,Austin (TX)
A712121,Slaughter & Ih 35 in Austin (TX)
A688905,5915 Old Lockhart Road in Travis (TX)
A754038,3700 Enfield Rd in Austin (TX)
A736269,Austin (TX)
A680822,2005 E 21 in Austin (TX)
A724138,E St Elmo Rd & Nuckols Crossing Rd in Austin (TX)
A687471,1401 Wilshire Blvd in Austin (TX)
A673042,2932 Ellon Rd in Del Valle (TX)
A677080,Austin (TX)
A732600,Austin (TX)
A640106,Austin (TX)
A688391,7613 Ladybug St in Austin (TX)
A703570,3527 River Rd. in Austin (TX)
A734339,208 Croslin St in Austin (TX)
A755738,4603 Avenue H in Austin (TX)
A708859,605 Canyon Rim Dr in Austin (TX)
A746010,E Riverside Dr And Lakeshore Blvd in Austin (TX)
A680878,5303 Nuckols Crossing in Austin (TX)
A752360,3003 Catalina Drive in Austin (TX)
A767272,Northbound Mopac Expressway in Austin (TX)
A713712,4605 Button Bend in Austin (TX)
A761486,South First And Dittmar in Austin (TX)
A757094,1800 East Stassney in Austin (TX)
A721174,Parker And Oltorf in Austin (TX)
A739370,930 E Rundberg Ln in Austin (TX)
A704423,Austin (TX)
A673044,Miro And Belclaire Ln in Austin (TX)
A722179,Braker Ln And N Lamar Blvd in Austin (TX)
A668656,4802 Turnstone Dr in Austin (TX)
A760724,2701 E 7Th St in Austin (TX)
A733623,8600 Brodie Ln in Austin (TX)
A716955,Sara Dr And Berger St in Austin (TX)
A686384,Burnet/Clay in Austin (TX)
A741425,38 1/2 St And Sycamore in Austin (TX)
A711472,Travis (TX)
A698111,8514 Maine Dr in Austin (TX)
A710703,Austin (TX)
A719251,12449 Fm 812 in Del Valle (TX)
A732963,8712 Old Manor in Austin (TX)
A708389,400 Grove Blvd in Austin (TX)
A718407,2817 Prado St in Austin (TX)
A629969,Austin (TX)
A702904,3755-B S Capital Of Texas Hwy in Austin (TX)
A671158,Enfield And Exposition Blvd in Austin (TX)
A668945,Hwy 71/Wolf Ln in Travis (TX)
A696926,12844 St Mary Drive in Manor (TX)
A758511,2217 Bitter Creek Drive in Austin (TX)
A686149,1107 E. Anderson Ln in Austin (TX)
A692379,4014 W William Cannon Dr in Austin (TX)
A758009,7332 Colony Park Dr in Austin (TX)
A685920,183/Ih-35 in Austin (TX)
A697230,Rutland Dr & Metric Blvd in Austin (TX)
A746563,Austin (TX)
A674216,1701 W Ben White Blvd in Austin (TX)
A710949,Austin (TX)
A708987,10610 Morado Cir in Austin (TX)
A700015,Austin (TX)
A761776,Pflugerville (TX)
A718588,Austin (TX)
A654375,Pflugerville (TX)
A666183,9314 W 71 in Austin (TX)
A710181,Barkbridge Trail & Meadow Lane in Austin (TX)
A739357,1237 Eleanor St in Austin (TX)
A669096,Austin (TX)
A732207,1301 Fairbanks Dr in Austin (TX)
A749596,Austin (TX)
A757841,Austin (TX)
A686201,Fm 969 And Bantom Woods Bend in Austin (TX)
A674888,7904 Eudora Ln in Austin (TX)
A573141,Austin (TX)
A733198,6800 Nbroad Brook in Austin (TX)
A586033,Outside Jurisdiction
A685574,7709 Huddleston Ln in Austin (TX)
A708061,Austin (TX)
A694660,Dickson Dr in Austin (TX)
A737071,12117 Manchaca Rd in Travis (TX)
A732317,13401 Metric Blvd in Austin (TX)
A608349,2906 E Martin Luther King Jr Blvd in Austin (TX)
A658003,15329 Velias in Pflugerville (TX)
A706933,Austin (TX)
A710633,12223 Fay St in Manor (TX)
A728118,4201 Hampsted Ct in Austin (TX)
A685699,Pflugerville (TX)
A692532,501 El Paso St in Austin (TX)
A767129,11821 Savanna Canyon Court in Del Valle (TX)
A668544,Lago Vista (TX)
A696157,Austin (TX)
A735672,Austin (TX)
A672257,Gunter St & Munson St in Austin (TX)
A754209,814 Airport in Austin (TX)
A669979,Manchaca And Ben White in Austin (TX)
A680389,7402 Vintage Hills in Austin (TX)
A681612,12612 North Lamar Boulevard in Austin (TX)
A736852,8703 Lava Hill Rd in Austin (TX)
A675577,14300 Plover Pl in Travis (TX)
A686037,12901 N Ih 35 #1100 in Austin (TX)
A753204,8912 Lone Tree Dr in Manor (TX)
A524150,Rockland Dr in Austin (TX)
A664259,5001 Creek Bend in Austin (TX)
A674110,Austin (TX)
A663527,12109 Shetland Chase in Austin (TX)
A674990,6111 Shumard Oak in Austin (TX)
A749496,W Slaughter Ln & Brodie Ln in Austin (TX)
A743104,420 E Fm 1626 St in Austin (TX)
A603908,Austin (TX)
A757762,2412 E 9Th Street in Austin (TX)
A696641,9308 Fm 9308 in Austin (TX)
A700534,7113 Fm 969 in Austin (TX)
A740147,14007 Fm 812 in Travis (TX)
A738741,11009 Amblewood Way in Austin (TX)
A680470,744 W William Cannon Dr in Austin (TX)
A710535,Austin (TX)
A761176,2317 South Pleasant Valley Road in Austin (TX)
A730975,4601 Granny Drive in Travis (TX)
A750256,Providence Ave & Atkinson in Austin (TX)
A730105,Austin (TX)
A736811,Austin (TX)
A689383,5500 Ross Rd in Travis (TX)
A730890,5625 Foxfield Ln in Austin (TX)
A749785,Davis And Manchaca in Austin (TX)
A590362,Tee Dr And Nuckols Crossing Rd in Austin (TX)
A688169,12620 Mistletoe in Austin (TX)
A709857,Austin (TX)
A685537,Duval And Hwy 183 in Austin (TX)
A764664,9607 Mountain Quail Rd in Austin (TX)
A676344,6705 Cruz St in Austin (TX)
A668341,3806 Towerview Ct in Austin (TX)
A740492,615 West 7Th Street in Austin (TX)
A722900,12853 White House in Austin (TX)
A704506,2435 Oak Crest Ave in Austin (TX)
A476706,Austin (TX)
A743507,E Cesar Chavez St & Chicon St in Austin (TX)
A755351,6305 Cameron in Austin (TX)
A684019,410 Cool Springs Way in Austin (TX)
A697124,Austin (TX)
A757726,Tall Shadows Drive And Carson Creek Blvd in Austin (TX)
A722218,Lime Creek Rd And Anderson Mill Rd in Travis (TX)
A741660,9303 Fm 969 in Austin (TX)
A692162,Avenue G/42Nd in Austin (TX)
A707975,2307 Ventura in Austin (TX)
A753368,1106 Acanthus Street in Travis (TX)
A680272,Texas Plume in Austin (TX)
A683726,515 City Park Rd in Pflugerville (TX)
A751584,183 And 812 in Austin (TX)
A706922,Greenbelt At Gus Fruh in Austin (TX)
A705794,5904 Dunbury Dr in Austin (TX)
A672679,Briardale Dr And Colony Creek Dr in Austin (TX)
A707866,15008 Fm 812 in Del Valle (TX)
A713416,2503 E Oltorf in Austin (TX)
A737888,Brodie Ln And William Cannon in Austin (TX)
A721737,Austin (TX)
A746789,1010 W 26Th St in Austin (TX)
A677527,Austin (TX)
A668605,9315 Mcneil Rd in Austin (TX)
A711938,Austin (TX)
A727512,1St And Guadalupe in Austin (TX)
A684450,11407 Marshall Street in Manor (TX)
A718605,2501 Wickersham Ln in Austin (TX)
A721038,Hudson Bend Rd And Beacon Dr in Travis (TX)
A684920,Austin (TX)
A757462,Outside Jurisdiction
A737776,Patricia St And Pamela St in Austin (TX)
A698767,Deen Ave And Georgian Dr in Austin (TX)
A665620,14508 Harris Ridge Blvd in Austin (TX)
A651127,Austin (TX)
A679548,124 W Anderson in Austin (TX)
A673445,8705 Leisure Dr in Austin (TX)
A734024,12225 Buzz Schneider Ln in Austin (TX)
A757557,Outside Jurisdiction
A727788,5605 Nuckols Crossing in Austin (TX)
A733070,300 Bowie in Austin (TX)
A695355,12138 North Lamar Boulevard in Austin (TX)
A760453,Austin (TX)
A673951,7900 Marble Ridge Dr in Austin (TX)
A724825,Austin (TX)
A750500,515 Congress Ave in Austin (TX)
A693048,Austin (TX)
A678053,11507 Maha Loop in Austin (TX)
A741429,104 East Longspur Blvd in Austin (TX)
A696264,Austin (TX)
A678882,Nuckols Crossing in Austin (TX)
A414620,Pflugerville (TX)
A685721,1509 E 13Th St in Austin (TX)
A713447,13021 Dessau Rd in Travis (TX)
A674208,4413 Scottsdale in Austin (TX)
A743414,Berkman Dr And E Us 290 in Austin (TX)
A722176,1910 Travis Heights in Austin (TX)
A756502,700 Decker Ln in Austin (TX)
A700578,7500 S I H 35 in Austin (TX)
A730885,900 Center Ridge Dr in Austin (TX)
A755296,6105 Pino Lane in Austin (TX)
A743898,12034 Research Blvd in Austin (TX)
A712204,515 S Pleasant Valley Rd in Austin (TX)
A503371,4609 Trail Crest Cir in Austin (TX)
A704526,5908 Manor in Austin (TX)
A768280,Austin (TX)
A706065,5702 Richmond Ave in Austin (TX)
A657764,Austin (TX)
A759143,1140 Poquito Street in Austin (TX)
A710243,Austin (TX)
A711029,Jesse Bohls Dr in Travis (TX)
A684197,3801 N. Lamar Blvd in Austin (TX)
A752641,12007 North Lamar in Austin (TX)
A670161,11300 Samsung Blvd in Austin (TX)
A699752,Austin (TX)
A682221,Austin (TX)
A701517,10705 Lambert Cir in Austin (TX)
A667411,Dee Gabriel Collins Rd/Hwy 183 in Austin (TX)
A755249,7601 Daffan Lane in Austin (TX)
A671438,Dessau And Wells Branch in Travis (TX)
A727823,W 32Nd St And Speedway in Austin (TX)
A524092,9601 Carson Creek Blvd in Austin (TX)
A689634,506 Bellemeade Blvd in Pflugerville (TX)
A767957,Rotherham Drive in Austin (TX)
A751687,9104 Shepard Dr in Austin (TX)
A681226,2305 Mission Hill Dr in Austin (TX)
A676688,4434 Frontier Trl in Austin (TX)
A699573,1717 Cricket Hollow in Austin (TX)
A757871,Austin (TX)
A678563,1900 N Ih 35 Sb Service in Austin (TX)
A688950,912 Us Highway 183 S in Austin (TX)
A715089,5129 Cameron R in Austin (TX)
A705826,Littig Rd And Ballerstedt Rd in Travis (TX)
A728819,500 E 7Th in Austin (TX)
A670987,7907 Bixler Dr in Austin (TX)
A715615,920 Coronation Way in Pflugerville (TX)
A738450,9420 N Interstate Hwy 35 in Austin (TX)
A712542,18100 Maxa Dr in Manor (TX)
A752799,6118 Fairway in Austin (TX)
A671490,2303 Vanderbilt Cir in Austin (TX)
A767996,Austin (TX)
A678755,11215 Prairie Dove Cir in Austin (TX)
A710569,9601 Middle Fiskville in Austin (TX)
A755391,2439 Town Lake Circle in Austin (TX)
A738129,Austin (TX)
A705262,South Lamar/6Th in Austin (TX)
A718638,600 W William Cannon in Austin (TX)
A708504,4550 Mueller Park in Austin (TX)
A753032,5820 Berkman in Austin (TX)
A676358,Lamplight Village in Austin (TX)
A682218,1306 Bob Harrison St in Austin (TX)
A692351,9435 Middle Fiskville Rd in Austin (TX)
A761868,815 Christopher Street in Austin (TX)
A677865,9900 South I H 35 in Austin (TX)
A689454,118616 Plains Valley Dr in Travis (TX)
A752077,Austin (TX)
A744414,10600 Lakeline Mall in Austin (TX)
A688154,Austin (TX)
A618106,Rockland Dr in Austin (TX)
A658735,6800 North Lamar in Austin (TX)
A694606,Austin (TX)
A688102,Del Valle (TX)
A749017,2601 Penny Lane in Austin (TX)
A732664,6110 Calmar Cv in Austin (TX)
A694724,Lakeshore/Riverside in Austin (TX)
A767696,Austin (TX)
A739672,2000 Brandt Rd in Austin (TX)
A727016,7802 Rutgers Ave in Austin (TX)
A526144,1156 W Cesar Chavez in Austin (TX)
A719983,11412 Pyreneese Dr in Austin (TX)
A691606,14306 Vandever in Travis (TX)
A741811,Hwy 183 & Planeview in Austin (TX)
A747956,Austin (TX)
A669971,4201 Tx-71 in Bastrop (TX)
A726286,4522 Felicity Ln in Austin (TX)
A696893,4537 S Ih 35 in Austin (TX)
A701879,12117 Manchaca in Austin (TX)
A666101,Payne in Austin (TX)
A716701,Austin (TX)
A706059,1500 S Lamar in Austin (TX)
A730511,1000 E 41St St in Austin (TX)
A723334,Austin (TX)
A700407,1111 Rutland Drive in Austin (TX)
A677114,8213 Brodie Ln in Austin (TX)
A689184,Maha Rd in Del Valle (TX)
A673629,9801 W Parmer Ln in Austin (TX)
A664387,5002 Blue Spruce in Austin (TX)
A764321,Gemmers Street And Proud Panda Drive Austin in Del Valle (TX)
A686283,Boyce Ln & Innes View Rd in Austin (TX)
A653703,1515 Wickersham in Austin (TX)
A741213,12717 Waynespur Ln in Travis (TX)
A764451,Garcreek Circle And Riverstone Drive in Austin (TX)
A744224,9920 Qual Blvd in Austin (TX)
A702638,1408 Valleyridge Drive in Austin (TX)
A702362,7632 W 71 in Austin (TX)
A677023,Furness Dr And Loralinda in Austin (TX)
A747608,6855 E Hwy 290 in Austin (TX)
A760685,8213 Spring Valley Drive in Austin (TX)
A678622,Riverside And Grove in Austin (TX)
A744667,5500 Ross Rd in Travis (TX)
A685999,Linden/Montopolis in Austin (TX)
A766465,11905 Athens Trail in Austin (TX)
A687501,12660 Ballerstedt Dr in Travis (TX)
A760407,Sarah'S Creek Drive in Pflugerville (TX)
A697253,6900 Providence Ave in Austin (TX)
A668646,William Cannon And Mckinney Falls in Austin (TX)
A702314,911 North Meadow Dr in Austin (TX)
A694055,Outside Jurisdiction
A669609,Austin (TX)
A748737,6813 Lunar Dr in Austin (TX)
A741729,9704 N Creek Dr in Austin (TX)
A755962,Gunter Street And Tompson Street in Austin (TX)
A741869,Austin (TX)
A757498,Outside Jurisdiction
A681167,5011 E Cesar Chavez St in Austin (TX)
A680352,4407 Norwood in Austin (TX)
A744546,5706 Libyan Dr in Austin (TX)
A529310,9625 Covy Ridge Ln in Austin (TX)
A610531,Guadalupe St & W 45Th St in Austin (TX)
A740473,Pflugerville (TX)
A694532,Apperson St And Elroy Rd in Del Valle (TX)
A711318,9128 Texas Sun Dr in Austin (TX)
A703766,Manor And Sweeney Circle in Austin (TX)
A692837,801 Bluffstone Cove in Austin (TX)
A742352,Austin (TX)
A713038,51 Rainey St in Austin (TX)
A720523,Harris Ridge Blvd And Sebastian Bend in Pflugerville (TX)
A749222,5304 Two Iron Horse in Austin (TX)
A665595,12916 James Madison St in Manor (TX)
A733401,Terry Ln And Meldrum Rd in Del Valle (TX)
A705700,700 E St Elmo in Austin (TX)
A506775,Austin (TX)
A461106,W 45Th St & Bull Creek Rd in Austin (TX)
A676808,Georgian And Hwy 183 in Austin (TX)
A691729,324 Middle Ground Cove in Austin (TX)
A642692,2501 Wickersham in Austin (TX)
A747331,Slaughter And Manchaca in Austin (TX)
A718256,2500 Burleson Road in Austin (TX)
A743775,Austin (TX)
A668105,9205 North Drive in Austin (TX)
A679036,South 1St And Stassney Ln in Austin (TX)
A753090,7201 Wood Hollow in Austin (TX)
A676033,Austin (TX)
A703381,12005 Garden Meadow Rd in Austin (TX)
A740175,South 5Th And Garden Villa in Austin (TX)
A696603,S Ih 35 Frontage Rd And Royal Hill Dr in Austin (TX)
A702986,19211 Blake Manor Rd in Manor (TX)
A726717,7912 Jester Blvd in Austin (TX)
A614481,4220 S Ih 35 in Austin (TX)
A593827,Austin (TX)
A714556,5252 Mission Cir in Travis (TX)
A709588,Treadwell/ S Lamar in Austin (TX)
A705096,600 S 1St in Austin (TX)
A738317,10107 Rodriguez Rd in Austin (TX)
A649141,6607 Ih 35 S in Austin (TX)
A596658,2900 E Cesar Chavez St in Austin (TX)
A714522,Sprinkle Cutt Off Rd And Springdale in Austin (TX)
A720287,5907 Curlington Ct in Austin (TX)
A674446,Rain Creek/ Lost Horizon in Austin (TX)
A678001,I-35/ 183 in Austin (TX)
A750957,7908 Cemetary Rd in Manor (TX)
A664664,Austin (TX)
A747483,Austin (TX)
A669595,12022 Lima Dr in Manor (TX)
A734050,6855 E Hwy 290 in Austin (TX)
A677778,Schebler St & Arrowmound Pass in Del Valle (TX)
A687505,8001 S 1St St in Austin (TX)
A754720,Autumn Bay in Austin (TX)
A680462,7Th And Neches in Austin (TX)
A694501,2816 Norfolk Dr in Austin (TX)
A669827,9151 Research Blvd in Austin (TX)
A694503,Daffan Ln  & Decker Lane in Austin (TX)
A732939,10300 Stubble Quail Dr in Austin (TX)
A703905,Austin (TX)
A731507,7601 Dixie Dr in Austin (TX)
A726291,Austin (TX)
A721065,Bellflower in Austin (TX)
A711072,Travis (TX)
A725240,4616 Edge Creek/ Barkdale in Austin (TX)
A766448,1923 Willow Creek in Austin (TX)
A684274,12211 Old Stage Trl in Austin (TX)
A726488,Austin (TX)
A729690,2510 Great Oaks Pkwy in Austin (TX)
A694165,412 Thompson in Austin (TX)
A683262,14811 Chicadee in Pflugerville (TX)
A717387,620 And Williamson in Austin (TX)
A757491,Cesar Chavez And Lamar in Austin (TX)
A698768,Tara Drive/Salt Springs in Austin (TX)
A742954,Mary Lewis Dr And Sunday Dr in Austin (TX)
A708474,1720 Woodward St in Austin (TX)
A685642,Decker Lane And Blue Bluff in Austin (TX)
A664857,Old Bee Caves And Hwy 71 in Austin (TX)
A687277,Austin (TX)
A759895,9002 Magna Carta Loop in Austin (TX)
A710350,Austin (TX)
A721739,1416 S 1St St in Austin (TX)
A761358,9327 Evening Shadow in Del Valle (TX)
A705183,Outside Jurisdiction
A725274,Austin (TX)
A696970,Austin (TX)
A700282,Austin (TX)
A540822,912 Grey Castle in Pflugerville (TX)
A701913,12138 N Lamar Blvd in Austin (TX)
A703908,8807 Tressina Drive in Austin (TX)
A681959,912 U.S. 183 in Austin (TX)
A708348,9300 S Ih 35 Frontage Rd in Austin (TX)
A699942,Del Valle (TX)
A680156,W Braker Ln  And  183 in Austin (TX)
A734273,Manchaca Rd And Berkeley Ave in Austin (TX)
A684974,Dempsey And West Ditmar in Austin (TX)
A725500,4915 Hudson Bend Rd in Austin (TX)
A724818,510 W 18Th St #101 in Austin (TX)
A701067,6007 Ivy Hills Dr in Austin (TX)
A688062,Burleson & 183 in Austin (TX)
A750605,2904 Bond Drive in Austin (TX)
A729259,1302 Singleton in Austin (TX)
A707667,1100 Debco Ln in Travis (TX)
A671623,6918 Bennett Ave in Austin (TX)
A765906,18Th Street And Maple Avenue in Austin (TX)
A675340,Twin Creek/ Twin Creek Cir in Austin (TX)
A564596,Walnut Ave & Hargrave St in Austin (TX)
A503957,Outside Jurisdiction
A700906,909 Fairfield Dr in Austin (TX)
A718135,11402 Cecil Rose in Travis (TX)
A716565,2707 S Ih 35 in Austin (TX)
A746452,3608 Sand Dunes Ave in Austin (TX)
A701610,13121 Spiers Way in Austin (TX)
A695470,12310 Von Quintus in Austin (TX)
A698329,120 W. Slaughter in Austin (TX)
A763663,1609 W Braker Ln in Austin (TX)
A659262,1401 E 12Th St in Austin (TX)
A692959,Austin (TX)
A725254,11613 N Ranch To Market 620 in Austin (TX)
A532282,2003 Kenwood Ave in Austin (TX)
A713562,Meadows Dr And Berthound Dr in Austin (TX)
A681494,401 Tillery in Austin (TX)
A747155,Cesar Chavez St And Ih 35 in Austin (TX)
A681757,Ware Rd And Burleson in Austin (TX)
A717617,13021 Dessau in Travis (TX)
A665926,Austin (TX)
A749933,11500 Jollyville Rd in Austin (TX)
A736689,Weiss And Cele Rd in Pflugerville (TX)
A693393,Manchester Circle/Suburban Dr in Austin (TX)
A723017,8038 Exchange Dr in Austin (TX)
A761870,815 Christopher Street in Austin (TX)
A761899,6214 Cameron Road in Austin (TX)
A689914,10505 S Ih35 in Austin (TX)
A746586,12349 Metric in Austin (TX)
A688145,2305 E. 16Th St. in Austin (TX)
A746923,19150 Lockwood Rd in Travis (TX)
A689178,Braker/Burnet in Austin (TX)
A690814,1901 W William Cannon Dr in Austin (TX)
A744981,Austin (TX)
A734537,9314 N Lamar Blvd in Austin (TX)
A736147,1148 Airport Blvd in Austin (TX)
A666570,9011 Blocker Ln in Austin (TX)
A702756,6405 Nasoni Cv in Austin (TX)
A738883,Manor Rd & E 51St St in Austin (TX)
A704697,1609 E 13Th St in Austin (TX)
A717601,2510 Lehigh Dr in Austin (TX)
A731981,124 W Anderson Ln in Austin (TX)
A673732,Pflugerville (TX)
A672393,Austin (TX)
A730740,18300 River Timber Dr in Austin (TX)
A705861,Austin (TX)
A649445,Austin (TX)
A669369,Mopac And Far West in Austin (TX)
A691105,6801 Ashprington Ln in Austin (TX)
A720001,1703 Ranch Rd 620 S in Travis (TX)
A766490,1113 Banister Lane in Austin (TX)
A715081,12138 North Lamar in Austin (TX)
A669918,Emerald Forest And Sahara Ave in Austin (TX)
A699368,26 Yucca Dr in Austin (TX)
A716909,6200 Loyola Lane in Austin (TX)
A685292,Austin (TX)
A666963,1900 South First in Austin (TX)
A716140,4531 Southwest Dr in Austin (TX)
A670154,Palo Blanco in Austin (TX)
A676878,Springdale And 12Th in Austin (TX)
A706761,1701 Teri Street in Austin (TX)
A667284,9800 Teasdale in Austin (TX)
A684059,1601 E.Slaughter in Travis (TX)
A701085,1500 Royal Crest Dr in Austin (TX)
A722536,8407 Dixon Dr in Austin (TX)
A706203,Burleson & Oltorf in Austin (TX)
A684009,Smith Oak Trail And Old Fredericksberg in Austin (TX)
A698658,7000 Decker Ln # 2822 in Austin (TX)
A741095,5307 Woodlands Oak Ct in Austin (TX)
A686650,6600 Ed Bluestein in Austin (TX)
A754710,1644 Easth Thrid Street in Travis (TX)
A718198,Airport And Bolm in Austin (TX)
A766589,17141 Rocky Ridge Road in Travis (TX)
A679751,Austin (TX)
A664754,Austin (TX)
A647710,1120B Brookswood Ave. in Austin (TX)
A760852,7201 Levander Loop in Austin (TX)
A635880,1406 Cool Shadow in Austin (TX)
A678770,6800 Blue Dawn Trl in Austin (TX)
A673774,Austin (TX)
A740145,14007 Fm 812 in Travis (TX)
A690683,Burleson Rd & Mckinney Falls Pkwy in Austin (TX)
A708565,18417 Plazaway in Jonestown (TX)
A697904,Austin (TX)
A710746,5411 Overbrook Dr in Austin (TX)
A669663,183 And Loyola in Austin (TX)
A538360,Cesar Chavez/ in Austin (TX)
A751509,Dessau Rd & E Howard Ln in Austin (TX)
A700943,4800 Quicksilver in Austin (TX)
A748059,Austin (TX)
A704206,8606 Alpine Dr in Travis (TX)
A689866,Rockwwod Ln & Penny Ln in Austin (TX)
A683757,Austin (TX)
A674392,21606 Cherry Hollow Dr in Travis (TX)
A722674,500 E Cesar Chavez in Austin (TX)
A756896,4606 Turnstone Drive in Austin (TX)
A687234,3903 Alexandra Dr in Austin (TX)
A694611,4411 Hank Ave in Austin (TX)
A695430,11406 Tedford St & Scurry St in Austin (TX)
A735013,Austin (TX)
A726190,Tillery Lyons in Austin (TX)
A728891,Austin (TX)
A709305,4424 Silverstone Dr in Austin (TX)
A683467,5601 Pinon Vista Dr in Austin (TX)
A725231,8100 Bluff Springs Road in Austin (TX)
A668521,1000 E. 41St St. in Austin (TX)
A758773,2617 S Ih 35 in Austin (TX)
A665744,E 7Th St And Pleasant Valley in Austin (TX)
A693913,6600 Elm Creek Dr #61 in Austin (TX)
A759021,1212 Westheimer in Austin (TX)
A703799,403 Leslie Ave in Austin (TX)
A707642,Von Quintus Rd And Tiffany Trail in Austin (TX)
A747785,12440 Alameda Trace Circle in Austin (TX)
A705000,101 E Rundberg Ln in Austin (TX)
A715676,4711 Brassiewood Dr in Austin (TX)
A730573,Northeast & Creighton Ln in Austin (TX)
A672258,11712 Brookwood Rd in Austin (TX)
A674586,8100 Tonopa Ln in Austin (TX)
A721880,Austin (TX)
A746466,4858 Yager Ln in Travis (TX)
A732871,Broken Feather Trl And E Goodnight Trl in Pflugerville (TX)
A729344,2317 South Pleasant Valley Road in Austin (TX)
A713046,1301 E 2Nd St in Austin (TX)
A732414,Manor (TX)
A741185,7902 Tisdale St in Austin (TX)
A675213,1301 Parker Lane in Austin (TX)
A753659,11707 Argonne Forest Trail in Austin (TX)
A670693,7211 Meador in Austin (TX)
A756140,Vanderbilt And Colombia Drive in Austin (TX)
A682573,Hwy 71 And Manchaca in Austin (TX)
A633632,Austin (TX)
A670300,Austin (TX)
A699040,1001 East Ben White Boulevard in Austin (TX)
A726168,7101 Ed Bluestein Blvd in Austin (TX)
A735029,7206 Eganhill in Austin (TX)
A708968,21205 W 71 in Austin (TX)
A672895,7600 Bethune in Austin (TX)
A752059,Austin (TX)
A700774,106 Florest Bnd in Austin (TX)
A727850,Outside Jurisdiction
A705373,4200 Turnerville Rd in Creedmoor (TX)
A670353,Austin (TX)
A766376,10610 Salt Mill Hollow in Austin (TX)
A681350,802 S 1St in Austin (TX)
A742493,1430 Frontier Valley in Austin (TX)
A757071,1601 E Slaughter Ln in Austin (TX)
A764831,4434  Frontier Trl in Austin (TX)
A728324,209 Baker Ln in Austin (TX)
A699268,500 W Canyon Ridge Dr in Austin (TX)
A742936,Austin (TX)
A728942,Austin (TX)
A741756,2508 E Riverside Dr in Austin (TX)
A719399,Pflugerville (TX)
A712946,Austin (TX)
A668439,3519 River Rd. in Austin (TX)
A683883,7601 Daffan Ln in Travis (TX)
A723837,14016 Denny Ln in Travis (TX)
A718031,Austin (TX)
A717996,5700 Steven Creek Way in Austin (TX)
A704211,Austin (TX)
A710282,9119 Balcones Club Dr in Austin (TX)
A735041,7206 Eganhill in Austin (TX)
A712538,13200 Lipton Loop in Austin (TX)
A531698,Austin (TX)
A732990,10550 Maha Circle in Austin (TX)
A743050,13916 Briarcreek Loop in Travis (TX)
A751136,11601 Rydalwater Ln in Austin (TX)
A758326,130Ralph Albanedo in Austin (TX)
A758584,7900 Thaxton Road in Austin (TX)
A678975,7203 Southwind Dr in Austin (TX)
A743837,Austin (TX)
A685318,Ludlow Ter in Austin (TX)
A679708,1156 W. Cesar Chavez in Austin (TX)
A751422,E 11Th & Waller St in Austin (TX)
A662136,Austin (TX)
A681684,404 Ralph Ablanedo in Austin (TX)
A753331,12409 Drummond Dr in Travis (TX)
A721961,200 Corral Ln in Austin (TX)
A758800,Congree Avenue And Stassany Lane in Austin (TX)
A759743,1516 Desert Quail in Austin (TX)
A745621,Ponciana Loop And Ponciana Dr in Austin (TX)
A666879,Holly And Chicon in Austin (TX)
A732415,Manor (TX)
A730678,9517 Dalewood Dr in Austin (TX)
A726827,11600 Century Oaks Terrace in Austin (TX)
A727544,Austin (TX)
A728249,11403 Eubank in Austin (TX)
A743160,4434 Frontier in Austin (TX)
A753530,19317  Engelmann in Manor (TX)
A688980,7107 Appaloose Ct in Mustang Ridge (TX)
A733655,7201 Levander Loop in Austin (TX)
A675285,3406 Manchaca in Austin (TX)
A673180,4100 W Slaughter Ln in Austin (TX)
A681876,Austin (TX)
A733050,14300 Tandem Blvd in Travis (TX)
A766098,715 E 8Th St in Austin (TX)
A743460,200 Provines St in Austin (TX)
A668193,3913 Carbondale Ave in Austin (TX)
A742758,4900 E Oltorf St in Austin (TX)
A731059,Austin (TX)
A744249,Man O War in Travis (TX)
A688244,Austin (TX)
A728613,Hwy 183 And Levander Loop in Austin (TX)
A723337,3309 Crownover St in Austin (TX)
A747100,Brezzy Pass in Austin (TX)
A720706,Salt Springs Dr And Thaxton Dr in Austin (TX)
A678303,7201 Levander Loop in Austin (TX)
A747464,Spicewood Springs in Austin (TX)
A707517,8509 Fm 969 in Austin (TX)
A726776,3213 Walnut in Austin (TX)
A697260,Austin (TX)
A709968,Fallwell Ln And Puebla Dr in Del Valle (TX)
A667400,Austin (TX)
A669021,16401 Weiss Ln in Travis (TX)
A724198,11014 Hamann Ln in Travis (TX)
A712528,920 Water St in Travis (TX)
A742108,San Antonio And Cesar Chavez in Austin (TX)
A723992,Austin (TX)
A683206,14811 Chicadee in Pflugerville (TX)
A625774,10211 Fm 969 Rd in Travis (TX)
A700972,Bolm Rd in Austin (TX)
