animal_id,found_location
A674023,8010 N Ih 35 in Austin (TX)
A732826,7619 Scenic Brook in Austin (TX)
A720321,Austin (TX)
A727451,6900 Old Bee Caves Rd in Austin (TX)
A702482,Mcneil Dr & San Felipe Blvd in Austin (TX)
A702501,6430 S Ih 35 Frontage Rd in Austin (TX)
A728599,2819 Foster Ln in Austin (TX)
A724243,7807 Linden Road in Travis (TX)
A726078,9509 Nightstar Dr in Del Valle (TX)
A707681,2906 Gem Circle in Austin (TX)
A705601,Merrilltown Dr And Noya Dr in Austin (TX)
A728857,Austin (TX)
A757879,8507 Bluff Springs Rd in Austin (TX)
A744408,5117  North Lamar Blvd in Austin (TX)
A665800,Austin (TX)
A750594,Briarton Dr And Thaxton Rd in Austin (TX)
A757675,Austin (TX)
A676116,Hunnington Meadows in Austin (TX)
A758780,400 West Anderson in Austin (TX)
A738040,Austin (TX)
A732105,Outside Jurisdiction
A762803,6118 Fairway Street in Austin (TX)
A744621,2520 Elmont Dr in Austin (TX)
A713234,4106 N Lamar Blvd in Austin (TX)
A739237,11609 Raymond C. Ewry in Austin (TX)
A694335,6900 Geneva in Austin (TX)
A759449,Merrilltown Drive And Mopac Expressway in Austin (TX)
A749619,1209 Rosewood Ave in Austin (TX)
A764450,Garcreek Circle And Riverstone Drive in Austin (TX)
A767244,East 7Th Street in Austin (TX)
A712231,7205 E Meadow Bend in Austin (TX)
A754171,7112 Ed Bluestein Blvd in Austin (TX)
A668300,Westgate And Towering Oaks in Austin (TX)
A710651,1156 W Cesar Chavez in Austin (TX)
A755283,7330 Bluff Springs in Austin (TX)
A680289,1128 Spur St in Austin (TX)
A742601,Austin (TX)
A763638,Austin (TX)
A748192,12001 Metric Blvd in Austin (TX)
A745757,6707 Point North in Austin (TX)
A705706,1156 W. Cesar Chavez in Austin (TX)
A719808,11819 Edward St in Travis (TX)
A684037,6612 Hondo Bend in Austin (TX)
A751945,14704 Alps Drive in Travis (TX)
A751357,1000 San Marcos St in Austin (TX)
A750324,1607 Future Dr in Austin (TX)
A732145,6201 Wing Feather Dr in Austin (TX)
A750777,4125 Saldelia Trl in Austin (TX)
A749812,7400 Us-290 in Austin (TX)
A689969,2008 Alexander Ave in Austin (TX)
