intake_year,animal_type,breed,count
2013,Dog,Chihuahua Shorthair/Pug,3
2013,Dog,Shiba Inu Mix,3
2013,Dog,Manchester Terrier/Chihuahua Shorthair,3
2013,Dog,Siberian Husky/German Shepherd,3
2013,Dog,Miniature Pinscher,3
2013,Dog,Dachshund/Bloodhound,3
2013,Dog,Boxer/Labrador Retriever,3
2013,Dog,Whippet Mix,3
2013,Dog,Beagle,3
2013,Dog,Great Pyrenees,3
2013,Dog,Wire Hair Fox Terrier Mix,2
2013,Dog,Great Pyrenees/German Shepherd,2
2013,Dog,Redbone Hound/Labrador Retriever,2
2013,Dog,English Bulldog,2
2013,Dog,Labrador Retriever/Siberian Husky,2
2013,Dog,Jack Russell Terrier/Pit Bull,2
2013,Dog,Australian Kelpie/Pit Bull,2
2013,Dog,Chinese Sharpei/Labrador Retriever,2
2013,Dog,Rottweiler/Labrador Retriever,2
2013,Dog,Australian Cattle Dog/Chow Chow,2
2013,Dog,Carolina Dog Mix,2
2013,Dog,Boston Terrier/Pointer,2
2013,Dog,Labrador Retriever/Staffordshire,2
2013,Dog,English Foxhound Mix,2
2013,Dog,German Shepherd/Alaskan Husky,2
2013,Dog,Australian Cattle Dog/Pit Bull,2
2013,Dog,Australian Cattle Dog/German Shepherd,2
2013,Dog,English Springer Spaniel Mix,2
2013,Dog,German Shepherd/Nova Scotia Duck Tolling Retriever,2
2013,Dog,Greyhound Mix,2
2013,Dog,Shetland Sheepdog,2
2013,Dog,American Foxhound Mix,2
2013,Dog,Shih Tzu/Miniature Poodle,2
2013,Dog,Miniature Schnauzer/Yorkshire Terrier,2
2013,Dog,Silky Terrier Mix,2
2013,Dog,Labrador Retriever/Basset Hound,2
2013,Dog,Yorkshire Terrier/Miniature Poodle,2
2013,Dog,Harrier Mix,2
2013,Dog,Welsh Terrier Mix,2
2013,Dog,Finnish Spitz Mix,2
2013,Dog,Yorkshire Terrier/Chihuahua Longhair,2
2013,Dog,Pbgv Mix,2
2013,Dog,Cairn Terrier,2
2013,Dog,Pekingese,2
2013,Dog,Cairn Terrier/Chihuahua Shorthair,2
2013,Dog,Pekingese Mix,2
2013,Dog,Beagle/Rat Terrier,2
2013,Dog,American Eskimo Mix,2
2013,Dog,Dachshund Wirehair Mix,2
2013,Dog,Chihuahua Shorthair/Miniature Pinscher,2
2013,Dog,Labrador Retriever/Golden Retriever,2
2013,Dog,Pit Bull/Basset Hound,2
2013,Dog,Schipperke Mix,2
2013,Dog,Pit Bull/Blue Lacy,2
2013,Dog,Labrador Retriever/Great Pyrenees,2
2013,Dog,Labrador Retriever/Boxer,2
2013,Dog,Cardigan Welsh Corgi/Chihuahua Shorthair,2
2013,Dog,Pit Bull/Chinese Sharpei,2
2013,Dog,German Shorthair Pointer Mix,2
2013,Dog,Bluetick Hound Mix,2
2013,Dog,Jack Russell Terrier/Beagle,2
2013,Dog,Pit Bull/Mastiff,2
2013,Dog,Skye Terrier Mix,2
2013,Dog,Australian Cattle Dog/Bloodhound,2
2013,Dog,Australian Shepherd/Labrador Retriever,2
2013,Dog,Bullmastiff Mix,2
2013,Dog,Treeing Walker Coonhound Mix,2
2013,Dog,Pointer/Anatol Shepherd,2
2013,Dog,Catahoula/Labrador Retriever,2
2013,Dog,Pointer/Australian Cattle Dog,2
2013,Dog,Jack Russell Terrier/Chihuahua Shorthair,2
2013,Dog,Pointer/Pit Bull,2
2013,Dog,Catahoula/Australian Cattle Dog,2
2013,Dog,Border Collie/Chow Chow,2
2013,Dog,Bichon Frise,2
2013,Dog,Black Mouth Cur/Dachshund,2
2013,Dog,Pembroke Welsh Corgi Mix,2
2013,Dog,Alaskan Husky Mix,2
2013,Dog,Dachshund/English Bulldog,1
2013,Dog,Chow Chow/Labrador Retriever,1
2013,Dog,Pit Bull/Pointer,1
2013,Dog,Dachshund/Parson Russell Terrier,1
2013,Dog,St. Bernard Rough Coat/German Shepherd,1
2013,Dog,Dachshund/Pembroke Welsh Corgi,1
2013,Dog,Pharaoh Hound Mix,1
2013,Dog,Border Collie/American Staffordshire Terrier,1
2013,Dog,American Bulldog/Labrador Retriever,1
2013,Dog,Border Collie/Anatol Shepherd,1
2013,Dog,Collie Smooth/German Shepherd,1
2013,Dog,Border Collie/Australian Shepherd,1
2013,Dog,Dachshund/American Staffordshire Terrier,1
2013,Dog,Doberman Pinsch/Border Collie,1
2013,Dog,Papillon Mix,1
2013,Dog,Doberman Pinsch/Pit Bull,1
2013,Dog,Chihuahua Shorthair/Lhasa Apso,1
2013,Dog,Dogue De Bordeaux/American Bulldog,1
2013,Dog,Podengo Pequeno Mix,1
2013,Dog,Eng Toy Spaniel Mix,1
2013,Dog,Black/Tan Hound,1
2013,Dog,Australian Cattle Dog/Akita,1
2013,Dog,Collie Rough Mix,1
2013,Dog,English Bulldog/American Staffordshire Terrier,1
2013,Dog,Bloodhound Mix,1
2013,Dog,English Foxhound,1
2013,Dog,Standard Schnauzer Mix,1
2013,Dog,Border Collie/Doberman Pinsch,1
2013,Dog,Whippet/Miniature Pinscher,1
2013,Dog,English Pointer,1
2013,Dog,Cavalier Span Mix,1
2013,Dog,English Pointer Mix,1
2013,Dog,Beauceron Mix,1
2013,Dog,English Pointer/Labrador Retriever,1
2013,Dog,Pit Bull/Anatol Shepherd,1
2013,Dog,English Setter Mix,1
2013,Dog,Pit Bull/English Bulldog,1
2013,Dog,English Springer Spaniel,1
2013,Dog,Plott Hound/Australian Cattle Dog,1
2013,Dog,Border Collie/German Shepherd,1
2013,Dog,Pointer/Boxer,1
2013,Dog,Entlebucher Mix,1
2013,Dog,Australian Kelpie/Blue Lacy,1
2013,Dog,Border Collie/Great Pyrenees,1
2013,Dog,Chow Chow/English Cocker Spaniel,1
2013,Dog,Border Collie/Jack Russell Terrier,1
2013,Dog,Black/Tan Hound/German Shepherd,1
2013,Dog,French Bulldog Mix,1
2013,Dog,Scottish Terrier/Cairn Terrier,1
2013,Dog,French Bulldog/Chihuahua Shorthair,1
2013,Dog,Shih Tzu/Cavalier Span,1
2013,Dog,German Pinscher Mix,1
2013,Dog,Silky Terrier/Maltese,1
2013,Dog,Australian Kelpie/Shiba Inu,1
2013,Dog,Staffordshire/French Bulldog,1
2013,Dog,Affenpinscher Mix,1
2013,Dog,Dachshund Wirehair/Miniature Schnauzer,1
2013,Dog,Border Collie/Parson Russell Terrier,1
2013,Dog,Dachshund/Beagle,1
2013,Dog,Yorkshire Terrier/Miniature Schnauzer,1
2013,Dog,Dachshund/Catahoula,1
2013,Dog,German Shepherd/Chow Chow,1
2013,Dog,Newfoundland/Labrador Retriever,1
2013,Dog,German Shepherd/Collie Rough,1
2013,Dog,Alaskan Malamute/German Shepherd,1
2013,Dog,German Shepherd/Collie Smooth,1
2013,Dog,Pbgv,1
2013,Dog,German Shepherd/Golden Retriever,1
2013,Dog,Pekingese/Miniature Poodle,1
2013,Dog,Border Collie/Pit Bull,1
2013,Dog,Chihuahua Shorthair/Cardigan Welsh Corgi,1
2013,Dog,Australian Kelpie/Whippet,1
2013,Dog,Australian Cattle Dog/Parson Russell Terrier,1
2013,Dog,Border Terrier/Affenpinscher,1
2013,Dog,Pit Bull/Chihuahua Shorthair,1
2013,Dog,German Shepherd/Pit Bull,1
2013,Dog,Chihuahua Shorthair/Mexican Hairless,1
2013,Dog,German Shepherd/Rottweiler,1
2013,Dog,Pit Bull/St. Bernard Smooth Coat,1
2013,Dog,Border Terrier/Border Collie,1
2013,Dog,Plott Hound/Labrador Retriever,1
2013,Dog,Australian Shepherd,1
2013,Dog,Black Mouth Cur,1
2013,Dog,Boston Terrier,1
2013,Dog,Pointer/Labrador Retriever,1
2013,Dog,Australian Cattle Dog/Anatol Shepherd,1
2013,Dog,Pomeranian/Border Terrier,1
2013,Dog,Golden Retriever/Border Collie,1
2013,Dog,Pug/Beagle,1
2013,Dog,Golden Retriever/Standard Poodle,1
2013,Dog,Chow Chow/Basset Hound,1
2013,Dog,Boston Terrier/Beagle,1
2013,Dog,Rat Terrier/Queensland Heeler,1
2013,Dog,Boston Terrier/Chihuahua Shorthair,1
2013,Dog,Australian Kelpie/Chihuahua Shorthair,1
2013,Dog,Great Dane/Labrador Retriever,1
2013,Dog,Cocker Spaniel/Dachshund,1
2013,Dog,Australian Shepherd/Australian Cattle Dog,1
2013,Dog,Schipperke/Chihuahua Shorthair,1
2013,Dog,Boston Terrier/Rat Terrier,1
2013,Dog,Shetland Sheepdog Mix,1
2013,Dog,Great Pyrenees/Border Collie,1
2013,Dog,Collie Smooth/Jack Russell Terrier,1
2013,Dog,Australian Shepherd/Brittany,1
2013,Dog,Shih Tzu/Maltese,1
2013,Dog,Great Pyrenees/Labrador Retriever,1
2013,Dog,Dachshund Longhair/Cardigan Welsh Corgi,1
2013,Dog,Greyhound,1
2013,Dog,Australian Kelpie/Labrador Retriever,1
2013,Dog,Australian Shepherd/English Setter,1
2013,Dog,Boerboel Mix,1
2013,Dog,Harrier,1
2013,Dog,Standard Poodle Mix,1
2013,Dog,Boxer/Beagle,1
2013,Dog,Tibetan Terrier Mix,1
2013,Dog,Harrier/Labrador Retriever,1
2013,Dog,Dachshund Wirehair/Standard Poodle,1
2013,Dog,Havanese Mix,1
2013,Dog,Dachshund/Basset Hound,1
2013,Dog,Ibizan Hound Mix,1
2013,Dog,Border Collie,1
2013,Dog,Irish Terrier/Irish Wolfhound,1
2013,Dog,Wire Hair Fox Terrier/German Shepherd,1
2013,Dog,Irish Wolfhound Mix,1
2013,Dog,Yorkshire Terrier/Cairn Terrier,1
2013,Dog,Italian Greyhound/Cavalier Span,1
2013,Dog,Dachshund/Miniature Pinscher,1
2013,Dog,Boxer/Catahoula,1
2013,Dog,Newfoundland/Queensland Heeler,1
2013,Dog,Boxer/Doberman Pinsch,1
2013,Dog,Norfolk Terrier/Yorkshire Terrier,1
2013,Dog,Boxer/German Shepherd,1
2013,Dog,Old English Sheepdog,1
2013,Dog,Australian Shepherd/Greyhound,1
2013,Dog,Bearded Collie Mix,1
2013,Dog,Jack Russell Terrier/Brittany,1
2013,Dog,Chihuahua Longhair/Papillon,1
2013,Dog,Jack Russell Terrier/Cairn Terrier,1
2013,Dog,Afghan Hound Mix,1
2013,Dog,American Bulldog/Pit Bull,1
2013,Dog,Chihuahua Shorthair/Boston Terrier,1
2013,Dog,Jack Russell Terrier/Dachshund,1
2013,Dog,Picardy Sheepdog,1
